,Klub,Rezultat
0,OGC Nice,-0.2
1,Olympique de Marseille,0.4
2,Paris Saint-Germain,0.8
3,Stade Brestois 29,-0.4
4,Clermont Foot 63,-0.6
5,Montpellier Hérault SC,-0.8
6,FC Nantes,-0.2
7,Stade Rennais FC,0.4
8,RC Strasbourg Alsace,-0.2
9,FC Metz,0.2
10,Olympique Lyonnais,0.0
11,Toulouse FC,-0.4
12,LOSC Lille,0.2
13,Havre Athletic Club,0.2
14,FC Lorient,-0.4
15,Stade de Reims,-0.4
16,AS Monaco,-0.2
17,RC Lens,0.6
18,AJ Auxerre,-0.8
19,Angers SCO,0.4
20,AS Saint-Étienne,-0.2
21,Paris FC,-0.4
